location,num_resp,nbr_relation,food_worry,apprch_bside,hlth_happy,chat_often,rlns_safe,age,bside_dur,household,walk_aid,imm_status,bside_pre_muni,Nos. of Suites,Postal Code,Build Year,Average Rent,neighbourhood,neigh_crime_rate
BRIDGEVIEW PLACE,24,2.1,1.2,1.6,2.5,1.7,4.2,8.0,3.7,0.9,1.8,0.6,0.8,72,V6B 5X8,1993.0,623.78,Central Business District,27.6
COLLINGWOOD TOWER,16,2.0,1.4,2.4,2.7,2.0,3.6,8.3,3.3,0.9,1.7,0.3,0.9,79,V5R 5V6,1977.0,494.75,Renfrew-Collingwood,5.8
LIONS VIEW BLDG I,15,2.2,1.3,1.9,2.2,2.2,4.2,8.1,3.7,1.0,1.8,0.6,0.8,45,V5R 5C6,1993.0,494.49,Renfrew-Collingwood,5.8
LIONS VIEW BLDG II,15,2.3,1.6,2.1,3.0,1.9,4.1,8.1,3.5,0.9,1.8,0.6,0.7,47,V5R 5C6,1994.0,492.39,Renfrew-Collingwood,5.8
LIONS VIEW BLDG III,10,2.0,1.0,2.0,2.6,2.6,4.2,8.4,3.7,0.8,1.8,0.4,0.7,35,V5R 4S2,1995.0,807.06,Renfrew-Collingwood,5.8
MORELAND KENNEDY,11,1.8,1.5,2.3,2.5,2.0,3.6,8.0,3.7,0.9,1.5,0.5,1.0,31,V6K 1L9,1974.0,860.26,Kitsilano,4.8
ARBUTUS COURT,7,2.1,1.3,2.1,2.3,1.9,4.0,8.6,4.0,0.7,1.7,0.3,0.7,21,V6J 1P8,1964.0,886.1,Kitsilano,4.8
BURRARD MANOR,6,2.0,1.0,1.7,2.3,1.8,4.2,8.5,3.7,1.0,1.8,0.7,0.8,16,V6K 3M8,1967.0,747.69,Kitsilano,4.8
GLYNN MANOR,11,2.2,2.5,2.3,2.9,2.5,3.4,6.2,3.4,1.0,1.7,0.8,0.8,49,V5Z 1B3,2001.0,475.31,Fairview,5.7
MAGNOLO MANOR,7,2.0,1.1,1.4,1.7,1.4,4.3,8.1,3.1,0.6,1.6,0.9,0.7,17,V6H 2S2,1959.0,903.88,Fairview,5.7
WALLACE WILSON,9,2.1,1.2,1.7,2.1,2.2,3.8,7.7,3.4,1.0,1.9,0.7,0.4,41,V5N 1P3,1965.0,651.75,Grandview-Woodland,5.1
LOYAL ORANGE,5,2.2,1.4,1.8,2.6,2.0,3.6,8.0,3.8,1.0,2.0,1.0,1.0,21,V5N 2A1,1971.0,,Grandview-Woodland,5.1
MUIR MANOR,4,2.0,1.5,2.2,3.2,2.5,3.0,7.0,3.8,0.8,2.0,0.8,0.8,34,V5N 5X1,,989.46,Grandview-Woodland,5.1
EDWARD BYERS,1,2.0,1.0,2.0,2.0,1.0,4.0,9.0,4.0,1.0,2.0,1.0,1.0,36,V5N 2A1,1962.0,,Grandview-Woodland,5.1
SOROPTIMIST LIONS,9,2.0,2.0,2.6,2.8,2.2,3.6,7.8,3.6,0.9,1.8,0.6,0.9,25,V5N 2B6,1971.0,753.12,Kensington-Cedar Cottage,4.5
KINGS DAUGHTERS,2,2.5,2.5,3.0,2.5,2.0,3.0,8.0,4.0,1.0,1.5,1.0,1.0,29,V5N 1Y6,1972.0,614.07,Kensington-Cedar Cottage,4.5
MOUNT PLEASANT,9,2.1,1.2,1.8,2.1,2.0,3.9,8.1,3.6,1.0,2.0,0.9,0.8,36,V5T 1J9,,601.0,Mount Pleasant,6.6
ALICE SAUNDERS,7,2.1,1.0,1.3,2.3,1.9,4.3,8.0,3.6,1.0,1.7,0.7,0.7,64,V5K 4X8,1977.0,699.5,Hastings-Sunrise,3.4
LONDONDERRY,7,2.0,1.0,2.9,2.6,2.9,3.1,7.7,3.1,0.9,2.0,0.3,0.9,22,V6M 3Y1,1957.0,795.81,Kerrisdale,1.2
HARWOOD MANOR,5,2.2,2.2,2.0,3.2,2.4,3.4,7.2,3.6,1.0,2.0,0.4,0.8,25,V6E 1S2,1960.0,778.92,West End,8.3
FLORENCE MANOR,5,2.2,1.2,1.2,2.4,2.4,4.4,8.0,3.2,1.0,1.8,1.0,0.8,15,V6E 1R2,1954.0,835.93,West End,8.3
MACLEOD MANOR,4,2.0,1.8,2.8,2.8,3.8,3.2,7.0,3.2,0.8,1.5,1.0,1.0,46,V6P 4W9,,835.59,Marpole,2.5
WILSON HEIGHTS MANOR,1,2.0,1.0,1.0,5.0,3.0,4.0,4.0,2.0,0.0,2.0,0.0,1.0,15,V5P 1K5,1970.0,522.57,Victoria-Fraserview,1.7
